bbrID,Date,Tm,Opp,TRB,AST,STL,BLK,PTS,GmSc,Year,Playoffs,GameIndex,GmScMovingZ,GmScMovingZTop2Delta,Date2,GmSc2,GmScMovingZ2
abdifa01w,2014-08-16,LAS,PHO,2,1,1,0,15,9.4,2014,false,33,3.45,1.23,2013-05-26,6.4,2.22
abrahta01w,1997-07-15,SAC,LAS,6,3,0,0,9,9.9,1997,false,9,3.1,0.84,1997-07-21,7.5,2.26
abrossv01w,2010-08-07,SEA,TUL,3,8,3,0,20,19.0,2010,false,245,3.44,0.43,2007-08-16,23.6,3.01
achonna01w,2018-06-12,IND,LVA,15,2,1,1,26,27.0,2018,false,101,2.92,0.34,2015-09-13,14.2,2.58
adairje01w,2011-10-05,MIN,ATL,2,0,0,3,13,13.6,2011,true,38,2.98,0.65,2011-09-11,11.2,2.33
adamsda01w,2013-09-15,SAS,ATL,8,1,2,0,39,33.6,2013,false,95,4.21,1.3,2011-06-11,27.0,2.91
ajavoma01w,2015-07-21,ATL,CHI,1,4,3,0,21,19.8,2015,false,251,3.75,0.4,2015-08-28,17.9,3.35
alaribe01w,2021-07-11,DAL,LVA,6,0,0,1,11,11.3,2021,false,41,2.55,0.59,2020-08-04,8.2,1.96
aldrima01w,2000-08-14,WAS,NYL,4,5,0,0,12,10.5,2000,true,61,3.09,0.07,2000-06-19,9.7,3.02
alexaka01w,2017-08-01,SAS,NYL,6,2,3,3,19,18.4,2017,false,145,3.15,0.26,2020-08-13,9.2,2.89
allemju01w,2020-09-08,IND,LVA,6,8,0,0,19,17.4,2020,false,19,2.29,0.12,2020-08-09,16.8,2.17
allenli01w,2018-06-08,LVA,ATL,0,7,4,0,9,13.1,2018,false,35,3.21,0.55,2020-08-18,12.2,2.66
allenre01w,2016-07-20,NYL,WAS,1,2,1,1,19,16.2,2016,false,13,3.66,0.64,2019-08-13,22.1,3.02
anderch01w,2006-07-18,SAS,HOU,6,2,3,1,17,18.1,2006,false,118,3.66,1.02,2004-07-12,9.5,2.64
anderke01w,2000-07-26,WAS,CHA,3,11,0,1,6,11.8,2000,false,22,3.08,0.17,2000-07-21,11.4,2.91
andrame01w,2002-06-25,CLE,MIA,4,4,1,0,11,12.1,2002,false,114,2.9,0.45,2000-06-19,14.9,2.45
anigwkr01w,2020-09-08,LAS,NYL,6,1,0,1,14,13.1,2020,false,41,3.43,1.16,2020-08-30,9.3,2.27
anosini01w,2010-08-03,MIN,CON,12,2,7,4,15,23.3,2010,false,88,2.83,0.48,2011-06-09,19.5,2.35
appelja01w,2013-08-11,SAS,SEA,16,3,0,6,11,20.8,2013,false,116,3.52,0.5,2010-07-24,13.1,3.02
arcaija01w,2005-07-26,HOU,WAS,3,4,1,0,23,21.0,2005,false,268,3.02,0.12,2000-05-31,18.3,2.9
askamma01w,2002-08-09,LAS,UTA,5,0,2,0,12,11.7,2002,false,175,3.8,0.6,2000-07-10,23.5,3.2
atkinar01w,2018-07-13,WAS,CHI,7,3,1,1,25,25.1,2018,false,18,2.67,0.47,2018-08-12,21.9,2.2
atkinla01w,2006-06-02,IND,MIN,3,4,1,1,15,14.8,2006,false,5,3.55,0.73,2006-08-08,11.4,2.82
atunrmo01w,2008-07-15,SAS,PHO,2,2,2,0,8,10.0,2008,false,22,3.06,0.22,2008-06-11,9.4,2.84
augusse01w,2011-10-05,MIN,ATL,8,3,0,0,36,31.9,2011,true,170,3.14,0.05,2017-09-12,22.6,3.09
azzije01w,1999-08-02,DET,WAS,7,4,4,0,22,23.1,1999,false,18,2.4,0.2,2003-08-12,17.5,2.2
badertr01w,2000-08-04,CLE,IND,0,1,3,0,8,8.3,2000,false,59,3.35,0.53,2000-08-21,7.0,2.82
bakersh01w,2007-06-24,LAS,SEA,4,8,5,0,15,15.0,2007,false,38,2.3,0.14,2007-07-05,13.7,2.16
balesal01w,2011-09-02,ATL,WAS,5,2,0,2,15,16.4,2011,false,123,2.72,0.05,2011-09-11,16.6,2.67
banhara01w,2020-09-12,MIN,IND,1,10,0,0,29,28.1,2020,false,132,4.67,1.17,2018-06-24,16.3,3.5
baranel01w,2004-07-24,NYL,DET,8,5,2,4,21,22.2,2004,false,167,2.51,0.05,2004-06-29,22.0,2.46
barksla01w,2003-07-10,SAS,SAC,6,0,0,0,22,16.2,2003,false,32,4.1,2.06,2002-06-20,8.7,2.04
barnead01w,1998-08-16,SAC,PHO,4,1,1,0,24,19.9,1998,false,27,4.54,1.89,2003-06-30,12.5,2.65
barnequ01w,2000-08-03,SEA,PHO,3,2,3,2,17,15.1,2000,false,44,3.35,0.42,2000-07-30,13.3,2.93
bassmi01w,2015-09-13,PHO,TUL,12,3,1,1,20,19.1,2015,false,266,4.05,1.03,2006-07-09,12.6,3.02
batkosu01w,2009-09-16,SEA,LAS,7,0,2,2,16,13.7,2009,true,52,2.51,0.4,2005-06-28,12.3,2.11
batteja01w,2006-08-13,DET,CON,2,1,0,0,4,5.1,2006,false,33,3.63,1.62,2006-07-30,2.9,2.01
battlas01w,2007-06-20,NYL,CON,4,2,4,0,18,19.7,2007,false,45,3.35,0.01,2006-08-05,21.4,3.34
bauerca01w,2000-07-24,CHA,IND,5,0,0,0,8,6.4,2000,false,45,2.78,0.06,2000-07-22,6.2,2.72
baughvi01w,2015-09-11,TUL,CHI,5,1,1,1,22,14.8,2015,false,65,3.08,0.77,2015-08-21,11.7,2.31
beardal01w,2016-10-14,LAS,MIN,4,7,2,1,15,18.3,2016,true,365,2.96,0.08,2004-07-18,27.6,2.88
bentlal01w,2018-08-07,ATL,LVA,2,8,2,0,22,21.9,2018,false,196,3.01,0.39,2015-08-07,25.0,2.62
berthlu01w,2003-07-17,CLE,MIN,5,0,1,1,15,11.8,2003,false,18,2.98,0.59,2003-06-07,10.1,2.39
beviltu01w,2011-09-06,SAS,LAS,5,1,1,0,11,10.6,2011,false,430,3.26,0.12,2010-08-10,12.7,3.14
biasti01w,2016-07-22,DAL,ATL,2,1,1,0,10,7.9,2016,false,39,3.72,1.12,2016-09-18,6.0,2.6
bibrzag01w,2006-06-16,SAS,MIN,5,2,2,0,20,19.1,2006,false,31,2.18,0.15,2006-07-03,18.2,2.03
billimo01w,2020-07-26,ATL,DAL,13,2,1,2,30,27.7,2020,false,66,4.38,1.66,2021-08-26,20.4,2.72
birdsu01w,2011-07-30,SEA,TUL,6,7,2,0,29,30.7,2011,false,338,2.94,0.05,2002-08-09,28.8,2.89
bishoab01w,2015-07-29,SEA,WAS,5,1,0,1,17,12.5,2015,false,34,2.92,0.6,2015-06-14,10.3,2.32
blackch01w,2010-05-23,TUL,MIN,17,1,0,6,10,17.6,2010,false,35,3.39,0.54,2012-08-21,13.4,2.85
blackde01w,2002-06-11,MIA,CLE,9,5,2,0,14,19.0,2002,false,104,2.83,0.06,2001-08-11,19.3,2.77
bladerh01w,1998-06-15,DET,CLE,0,4,0,0,11,8.5,1998,false,30,3.04,0.48,1997-07-23,7.4,2.56
blodgci01w,2001-07-03,SAC,MIN,1,1,1,0,19,15.8,2001,false,60,4.69,1.52,1998-06-22,10.1,3.17
blueni01w,2007-07-20,WAS,MIN,2,1,5,0,12,12.8,2007,false,44,3.16,0.02,2007-06-26,12.6,3.14
blueoc01w,2004-09-14,HOU,MIN,7,2,1,0,10,10.3,2004,false,56,3.3,0.36,2004-09-19,9.6,2.94
bobbish01w,2011-09-09,IND,NYL,1,7,4,0,16,20.3,2011,false,97,4.35,1.42,2008-07-22,13.4,2.93
boltoru01w,2002-07-07,SAC,POR,5,2,6,0,21,22.4,2002,false,142,3.06,0.13,1997-08-08,32.1,2.93
bondla01w,2006-06-01,CHA,CON,3,2,1,1,14,11.7,2006,false,3,2.44,0.11,2006-08-03,10.2,2.33
boneke01w,2015-06-19,CON,PHO,14,3,0,2,27,24.2,2015,false,73,3.04,0.05,2013-07-04,18.5,2.99
bonnede01w,2020-07-30,CON,LAS,14,6,1,0,34,33.3,2020,false,387,3.02,0.02,2010-06-04,25.5,3
boydbr01w,2018-07-15,NYL,CHI,1,10,4,0,14,18.5,2018,false,82,2.58,0.01,2016-09-03,19.3,2.57
boydca01w,2001-06-17,DET,MIN,3,1,0,0,14,10.6,2001,false,68,2.47,0.25,1998-07-22,13.2,2.22
boyetim01w,2018-07-01,ATL,IND,5,2,2,0,13,14.6,2018,false,79,3.27,0.27,2019-08-03,14.8,3
bradfcr01w,2021-07-02,ATL,SEA,3,7,4,0,17,16.5,2021,false,30,2.54,0.46,2021-06-29,14.3,2.08
braxtja01w,1997-08-23,CLE,NYL,8,1,4,3,19,21.2,1997,false,23,2.08,0.19,1997-07-28,20.5,1.89
braxtka01w,2009-07-22,DET,ATL,12,3,1,2,25,25.7,2009,false,170,3.65,0.55,2005-07-05,18.6,3.1
brazian01w,2001-07-20,IND,WAS,7,0,1,2,10,11.3,2001,false,44,2.36,0.02,2001-07-06,11.2,2.34
brelaje01w,2014-06-22,CHI,TUL,10,5,1,7,26,28.2,2014,false,53,3.66,0.03,2018-07-11,25.5,3.63
brogami01w,2000-06-14,PHO,POR,7,1,1,0,18,18.8,2000,false,42,2.22,0.35,1998-09-01,17.3,1.87
brondsa01w,2002-07-05,MIA,CHA,4,3,1,0,23,18.8,2002,false,107,2.6,0.09,2003-06-28,16.9,2.51
brownci01w,1998-06-29,DET,CHA,16,1,1,2,19,23.0,1998,false,8,2.39,0.76,1998-08-07,17.2,1.63
brownco01w,2003-06-26,IND,CON,3,4,2,0,26,24.7,2003,false,10,3.76,1.05,2003-06-20,19.2,2.71
browned01w,2003-05-22,PHO,SAC,6,4,3,0,15,12.2,2003,false,92,2.42,0.04,2000-06-16,15.7,2.38
brownka01w,2019-08-22,LAS,IND,4,1,1,1,10,11.6,2019,false,20,2.61,0.63,2019-06-27,9.6,1.98
brownki01w,2004-07-21,WAS,LAS,6,7,2,0,5,9.7,2004,false,65,3.01,0.21,2007-08-07,15.6,2.8
brownle02w,2020-08-07,MIN,IND,6,9,4,0,26,27.9,2020,false,59,4.22,1.64,2022-07-07,17.4,2.58
brownru01w,2000-07-08,CLE,CHA,3,0,0,3,24,17.3,2000,false,105,2.27,0.04,2003-07-26,11.3,2.23
brumfma01w,2000-07-23,MIN,POR,4,1,1,0,14,12.8,2000,false,23,3.25,0.34,2003-07-10,9.1,2.91
brungje01w,2004-09-29,CON,WAS,3,1,1,0,6,8.5,2004,true,35,4.12,1.47,2004-06-25,6.1,2.65
brunsre01w,2009-09-01,SAC,CON,13,0,0,2,32,30.7,2009,false,214,3.43,0.74,2013-08-22,26.0,2.69
bullevi01w,2001-07-01,WAS,ORL,9,3,3,3,24,26.7,2001,false,143,3.33,0.2,2002-07-18,24.5,3.13
burdici01w,2015-07-12,ATL,NYL,4,2,1,1,12,10.8,2015,false,6,3.06,0.42,2017-05-13,8.7,2.64
burgean01w,2002-06-04,WAS,UTA,3,5,1,0,15,15.7,2002,false,58,2.8,0.3,2001-08-03,14.0,2.5
burgehe01w,1997-07-11,LAS,UTA,9,0,3,2,14,15.6,1997,false,5,3.17,0.16,1998-08-04,15.4,3.01
burgeli01w,1998-08-15,SAC,UTA,10,2,4,0,33,33.0,1998,false,55,5.42,2.7,1997-07-11,17.6,2.72
burkeke01w,2020-08-20,IND,SEA,3,0,2,0,23,18.8,2020,false,42,3.87,1.02,2020-08-25,14.8,2.85
burraal01w,2002-07-19,POR,HOU,10,0,0,0,19,16.5,2002,false,99,2.63,0.07,2000-06-28,16.7,2.56
burseja01w,2003-08-02,MIN,SEA,12,0,0,4,20,18.8,2003,false,70,3.16,0.32,2003-08-20,17.1,2.84
byearla01w,2006-05-27,WAS,MIN,14,2,4,1,20,21.7,2006,false,203,3.87,0.51,2007-08-04,15.5,3.36
cambael01w,2018-07-17,DAL,NYL,10,2,1,5,53,52.9,2018,false,74,4.35,1.78,2018-08-17,37.2,2.57
campbed01w,2003-07-31,SAC,LAS,2,4,0,1,14,13.5,2003,false,106,2.58,0.26,2005-05-31,7.3,2.32
canadjo01w,2022-05-06,LAS,CHI,4,8,2,0,21,20.7,2022,false,129,3.23,0.21,2019-07-12,23.4,3.02
cannoem01w,2020-10-04,LVA,SEA,5,2,0,0,17,13.9,2020,true,43,2.97,0.06,2017-05-27,13.3,2.91
cantydo01w,2003-06-10,HOU,SAC,10,6,1,0,14,17.1,2003,false,122,3.11,0.23,2000-06-16,23.9,2.88
careyja01w,2006-08-08,CON,CHI,1,0,1,0,13,11.1,2006,false,41,3.11,0.43,2008-07-15,13.7,2.68
carlebr01w,2020-08-05,MIN,NYL,7,3,1,0,25,20.0,2020,false,12,2.87,0.49,2020-08-21,16.7,2.38
carridi01w,2021-09-15,CON,NYL,5,2,3,1,14,14.4,2021,false,22,2.35,0,2022-07-19,15.9,2.35
carsoes01w,2009-09-10,NYL,DET,2,3,2,0,28,19.9,2009,false,72,3.04,0.04,2009-09-13,19.6,3
cartech01w,2020-08-06,ATL,SEA,3,7,2,1,35,28.0,2020,false,5,2.87,1.21,2021-05-27,18.9,1.66
cartede01w,1997-06-23,UTA,LAS,1,2,0,0,16,11.8,1997,false,1,2.83,0.88,1998-06-13,8.1,1.95
cartesy01w,2015-07-12,ATL,NYL,2,4,1,0,12,10.6,2015,false,44,2.96,0.05,2013-07-02,12.3,2.91
cashsw01w,2016-07-17,NYL,CON,6,2,2,1,16,14.6,2016,false,523,2.93,0.16,2012-09-09,20.3,2.77
castriz01w,2011-09-25,ATL,IND,5,3,1,0,30,20.2,2011,true,287,3.61,0.72,2005-06-15,17.2,2.89
catchta01w,2013-06-28,IND,TUL,5,3,6,4,28,31.8,2013,false,400,2.87,0.38,2003-08-22,31.6,2.49
charlka01w,2021-06-22,CON,DAL,12,2,3,1,12,15.9,2021,false,39,2.9,0.84,2021-06-13,12.0,2.06
charlti01w,2013-06-12,CON,IND,10,3,1,3,30,27.9,2013,false,112,2.52,0.01,2014-07-06,29.9,2.51
chaseso01w,1999-07-23,CHA,HOU,3,2,1,0,6,5.8,1999,false,29,2.53,0.55,1998-08-19,4.7,1.98
chongsa01w,2017-06-11,DAL,MIN,1,2,1,0,10,8.4,2017,false,9,2.38,0.15,2017-06-16,8.0,2.23
chriska01w,2003-08-22,PHO,SAS,4,0,2,1,16,14.1,2003,false,58,3.01,0.29,2002-07-03,13.7,2.72
chriska02w,2014-06-22,IND,MIN,8,3,5,2,18,22.8,2014,false,113,3.27,0.57,2015-07-11,24.0,2.7
chrissh01w,2013-09-15,SAS,ATL,2,0,0,1,24,14.4,2013,false,291,3.02,0.05,2009-07-19,29.6,2.97
clarela01w,2017-07-07,ATL,IND,8,6,2,0,27,26.7,2017,false,156,3.12,0.2,2016-06-12,23.3,2.92
clarkal01w,2016-06-05,SEA,NYL,6,1,1,0,23,24.0,2016,false,131,3.75,0.93,2018-06-07,22.1,2.82
clemeco01w,2014-08-17,CHI,SAS,1,3,1,0,17,14.1,2014,false,61,4.14,0.44,2014-05-24,11.1,3.7
clinest01w,2000-06-28,SAC,MIN,3,8,1,0,9,11.8,2000,false,11,3.47,0.22,2000-05-31,12.0,3.25
cloudna01w,2016-06-24,WAS,PHO,2,5,2,0,18,17.4,2016,false,48,3.16,0.11,2019-06-07,24.8,3.05
coateal01w,2019-07-02,MIN,ATL,9,1,0,1,10,10.7,2019,false,42,2.69,0.46,2018-08-10,9.1,2.23
coffeni01w,2018-05-27,LVA,SEA,3,1,1,0,23,15.7,2018,false,29,4.58,1.93,2021-05-30,14.9,2.65
colemma01w,2018-05-29,NYL,DAL,4,2,4,1,12,15.4,2018,false,328,2.84,0.16,2017-08-20,16.3,2.68
colleka01w,2000-07-19,MIA,POR,4,0,1,0,19,12.6,2000,false,79,2.58,0.15,1998-08-14,13.2,2.43
collich01w,2021-07-11,DAL,LVA,8,0,1,0,13,12.0,2021,false,19,3.04,0.15,2021-06-24,11.5,2.89
collina01w,2019-05-25,MIN,CHI,6,0,2,3,27,25.5,2019,false,0,2.09,0.11,2020-08-31,27.0,1.98
colsosy01w,2019-07-13,LVA,WAS,0,3,4,0,17,16.4,2019,false,129,3.81,0.91,2016-07-10,12.8,2.9
congran01w,1998-07-12,CHA,NYL,10,3,0,1,23,24.3,1998,false,42,3.65,1.36,1999-08-20,14.4,2.29
coopecy01w,1997-08-11,HOU,CHA,5,4,8,0,39,42.0,1997,false,21,3.11,0.61,1997-07-25,37.6,2.5
coopete01w,2021-06-24,LAS,WAS,3,4,2,0,26,24.0,2021,false,32,3.52,1.6,2021-09-19,16.3,1.92
coppeka01w,2018-07-20,CHI,DAL,2,0,0,0,23,19.4,2018,false,86,3.46,0.91,2016-07-10,13.1,2.55
coxla01w,2021-08-31,LAS,IND,2,2,2,0,14,15.5,2021,false,35,3.78,1.97,2020-08-11,9.0,1.81
crawlsy01w,2000-06-08,POR,UTA,6,0,1,2,25,18.4,2000,false,3,1.95,0.09,2003-08-22,10.2,1.86
cruzan01w,2014-07-01,NYL,TUL,5,5,2,0,17,19.9,2014,false,16,2.53,0.14,2014-08-03,18.8,2.39
cunniso01w,2022-07-12,PHO,MIN,7,2,5,1,36,33.6,2022,false,110,4.08,0.81,2019-06-28,16.2,3.27
currimo01w,2017-08-10,PHO,DAL,5,6,4,2,29,27.4,2017,false,383,3.12,0.17,2017-05-14,25.8,2.95
dalesst01w,2003-05-23,WAS,CHA,4,8,2,0,20,24.6,2003,false,36,3.09,0.19,2006-07-28,19.2,2.9
daleygr01w,2002-06-11,HOU,CHA,3,1,1,1,19,16.5,2002,false,51,4.19,1.3,2000-06-28,14.6,2.89
dangecr01w,2020-08-09,MIN,LAS,2,4,2,0,29,22.7,2020,false,6,2.41,0.02,2022-07-31,13.9,2.39
dantada01w,2020-09-02,MIN,CHI,7,0,3,0,28,26.0,2020,false,161,2.88,0.24,2015-09-09,17.7,2.64
darlihe01w,2004-09-01,MIN,HOU,2,8,2,0,14,16.5,2004,false,135,3.49,0.56,2004-07-03,13.9,2.93
davenje01w,2008-09-09,NYL,SAS,9,2,0,1,15,14.7,2008,false,45,3.39,0.48,2011-06-28,20.1,2.91
daviska01w,2017-05-14,DAL,PHO,4,4,2,0,20,19.0,2017,false,0,3.23,0.06,2017-07-16,16.7,3.17
deforan01w,2007-08-25,IND,CON,7,1,3,0,26,27.3,2007,true,199,3.43,0.65,2007-08-15,23.5,2.78
delleel01w,2015-06-24,CHI,ATL,11,0,2,6,45,38.7,2015,false,63,2.74,0.27,2016-07-05,34.9,2.47
derevje01w,2006-06-09,PHO,DET,4,4,1,0,13,13.3,2006,false,68,3.86,1.52,2004-06-14,4.3,2.34
deshidi01w,2021-09-19,CHI,IND,7,6,2,1,30,27.1,2021,false,114,3.57,1.53,2021-06-01,19.5,2.04
desouer01w,2011-06-30,ATL,NYL,15,1,1,0,27,26.4,2011,false,143,2.92,0.15,2009-07-17,26.7,2.77
dickeke01w,2000-07-05,MIN,SEA,7,1,1,1,15,11.5,2000,false,15,2.48,0.24,2000-08-04,10.6,2.24
dietrbl01w,2018-06-27,ATL,CHI,4,2,1,0,12,9.1,2018,false,11,4.25,0.84,2020-09-09,17.7,3.41
diggisk01w,2018-07-08,DAL,NYL,7,5,1,0,32,31.9,2018,false,154,2.59,0.19,2018-06-08,30.3,2.4
dillata01w,2004-07-09,SAS,LAS,1,1,0,0,11,9.1,2004,false,31,2.89,0.22,2004-09-09,8.8,2.67
dixonta01w,2003-07-09,LAS,WAS,3,3,2,0,28,24.8,2003,false,208,2.76,0.02,2007-07-20,18.2,2.74
dolsost01w,2022-06-01,NYL,IND,8,7,0,3,16,21.4,2022,false,261,3.35,0.57,2019-07-21,21.6,2.78
dorresc01w,2012-06-08,TUL,CHI,3,1,4,0,17,12.8,2012,false,219,2.79,0.17,2008-07-22,12.7,2.62
dossaci01w,2002-07-06,ORL,PHO,2,0,0,0,18,15.2,2002,false,55,3.07,0.47,2000-07-19,15.9,2.6
dossacl01w,2016-09-30,CHI,LAS,8,1,6,0,15,15.9,2016,true,56,3.21,0.96,2016-09-13,11.6,2.25
