artist,tote,group,genre_fake,year,genre,id
Thin Lizzy,6,low,country,2010,Metal,286
Three 6 Mafia,6,low,country,2010,Hip Hop,287
Three Dog Night,6,low,country,2010,Classic Rock,288
Whitey,6,low,country,2010,Indie/Alternative,289
Witch,6,low,country,2010,Metal,290
Youth Lagoon,6,low,country,2010,Indie/Alternative,291
456 Productions,5,low,country,2010,Other,292
A Band of Bees,5,low,country,2010,Indie/Alternative,293
Aim,5,low,country,2010,Electronic,294
Archers of Loaf,5,low,country,2010,Indie/Alternative,295
ASG,5,low,country,2010,Metal,296
Atmosphere,5,low,country,2010,Hip Hop,297
Beirut,5,low,country,2010,Indie/Alternative,298
Birds of Avalon,5,low,country,2010,Indie/Alternative,299
Bjork,5,low,country,2010,Electronic,300
Bobby Womack,5,low,country,2010,Jazz/Soul,301
Brooklyn Funk Essentials,5,low,country,2010,Jazz/Soul,302
Brotha Lynch Hung,5,low,country,2010,Hip Hop,303
Calexico,5,low,country,2010,Electronic,304
Canned Heat,5,low,country,2010,Classic Rock,305
Captain Beefheart,5,low,country,2010,Classic Rock,306
Chemical Brothers,5,low,country,2010,Electronic,307
Coolio,5,low,country,2010,Hip Hop,308
Cypress Hill,5,low,country,2010,Hip Hop,309
Dance Hall Crashers,5,low,country,2010,Punk,310
David Holmes,5,low,country,2010,Electronic,311
Deela,5,low,country,2010,Other,312
Devendra Banhart,5,low,country,2010,Electronic,313
Dick Dale,5,low,country,2010,Classic Rock,314
Digable Planets,5,low,country,2010,Hip Hop,315
DJ Frane,5,low,country,2010,Electronic,316
DJ Vadim,5,low,country,2010,Jazz/Soul,317
DMX,5,low,country,2010,Hip Hop,318
Doves,5,low,country,2010,Indie/Alternative,319
Drunk Injuns,5,low,country,2010,Punk,320
Dutch Dub,5,low,country,2010,Electronic,321
Eagles Of Death Metal,5,low,country,2010,Metal,322
Elvis Presley,5,low,country,2010,Indie/Alternative,323
Extra Prolific,5,low,country,2010,Hip Hop,324
Fatboy Slim,5,low,country,2010,Electronic,325
Frank Zappa,5,low,country,2010,Classic Rock,326
Fretblanket,5,low,country,2010,Metal,327
Greyboy,5,low,country,2010,Jazz/Soul,328
Grindline The Band,5,low,country,2010,Metal,329
Hawkwind,5,low,country,2010,Classic Rock,330
Heart,5,low,country,2010,Classic Rock,331
HIM,5,low,country,2010,Metal,332
Hip Hop For Respect,5,low,country,2010,Hip Hop,333
Hum,5,low,country,2010,Metal,334
INXS,5,low,country,2010,Indie/Alternative,335
Jet Black Crayon,5,low,country,2010,Jazz/Soul,336
Jurassic 5,5,low,country,2010,Hip Hop,337
Justice,5,low,country,2010,Electronic,338
Le Tigre,5,low,country,2010,Electronic,339
Les Savy Fav,5,low,country,2010,Indie/Alternative,340
Luscious Jackson,5,low,country,2010,Indie/Alternative,341
Madonna,5,low,country,2010,Indie/Alternative,342
Marginal Man,5,low,country,2010,Punk,343
Mudhoney,5,low,country,2010,Punk,344
N.W.A.,5,low,country,2010,Hip Hop,345
NAS,5,low,country,2010,Hip Hop,346
Nevermore,5,low,country,2010,Metal,347
Old Canes,5,low,country,2010,Indie/Alternative,348
Pantera,5,low,country,2010,Metal,349
Pennywise,5,low,country,2010,Punk,350
Pepper Rabbit,5,low,country,2010,Indie/Alternative,351
Phoenix,5,low,country,2010,Indie/Alternative,352
Placebo,5,low,country,2010,Indie/Alternative,353
Prince,5,low,country,2010,Jazz/Soul,354
Reflection Eternal,5,low,country,2010,Hip Hop,355
Rick James,5,low,country,2010,Jazz/Soul,356
Rudimentary Peni,5,low,country,2010,Punk,357
Rush,5,low,country,2010,Metal,358
Slippers,5,low,country,2010,Hip Hop,359
Sly & The Family Stone,5,low,country,2010,Electronic,360
Storytellers,5,low,country,2010,Other,361
Ted Nugent,5,low,country,2010,Metal,362
The Beach Boys,5,low,country,2010,Classic Rock,363
The Chemical Brothers,5,low,country,2010,Electronic,364
The Commodores,5,low,country,2010,Jazz/Soul,365
The Cramps,5,low,country,2010,Punk,366
The Go! Team,5,low,country,2010,Indie/Alternative,367
The Heartaches,5,low,country,2010,Punk,368
The Helio Sequence,5,low,country,2010,Indie/Alternative,369
The Killers,5,low,country,2010,Indie/Alternative,370
The Notorious B.I.G.,5,low,country,2010,Hip Hop,371
The Roots,5,low,country,2010,Hip Hop,372
The Seeds,5,low,country,2010,Indie/Alternative,373
The Stone Roses,5,low,country,2010,Indie/Alternative,374
The Sword,5,low,country,2010,Metal,375
The Temptations,5,low,country,2010,Jazz/Soul,376
Thee Oh Sees,5,low,country,2010,Indie/Alternative,377
Too $hort,5,low,country,2010,Hip Hop,378
Tool,5,low,country,2010,Metal,379
Turing Machine,5,low,country,2010,Indie/Alternative,380
U2,5,low,country,2010,Indie/Alternative,381
William Orbit,5,low,country,2010,Electronic,382
13th Floor Elevators,4,low,country,2010,Classic Rock,383
Action Bronson,4,low,country,2010,Hip Hop,384
Agent Orange,4,low,country,2010,Punk,385
Agnostic Front,4,low,country,2010,Punk,386
Alyasha,4,low,country,2010,Other,387
Andy Caldwell,4,low,country,2010,Electronic,388
Beach Fossils,4,low,country,2010,Indie/Alternative,389
Beach House,4,low,country,2010,Indie/Alternative,390
Beanie Sigel,4,low,country,2010,Hip Hop,391
Big Daddy Kane,4,low,country,2010,Hip Hop,392
Big Tymers,4,low,country,2010,Hip Hop,393
Billy Idol,4,low,country,2010,Classic Rock,394
Black Lips,4,low,country,2010,Indie/Alternative,395
Black Moon,4,low,country,2010,Hip Hop,396
Black Moth Super Rainbow,4,low,country,2010,Electronic,397
Blue States,4,low,country,2010,Jazz/Soul,398
Blur,4,low,country,2010,Classic Rock,399
Boac,4,low,country,2010,Other,400
Bob James,4,low,country,2010,Jazz/Soul,401
Broken Spindles,4,low,country,2010,Electronic,402
Budgie,4,low,country,2010,Hip Hop,403
Bully,4,low,country,2010,Other,404
Chad VanGaalen,4,low,country,2010,Indie/Alternative,405
Charles Bradley,4,low,country,2010,Jazz/Soul,406
Clap Your Hands Say Yeah,4,low,country,2010,Indie/Alternative,407
Coconut Records,4,low,country,2010,Indie/Alternative,408
Colin Potter,4,low,country,2010,Other,409
Combine,4,low,country,2010,Other,410
Consortium,4,low,country,2010,Indie/Alternative,411
Cornelius,4,low,country,2010,Indie/Alternative,412
Craig Fox,4,low,country,2010,Other,413
Daft Punk,4,low,country,2010,Electronic,414
Dead Meadow,4,low,country,2010,Metal,415
Dead Prez,4,low,country,2010,Hip Hop,416
Deadxbeat,4,low,country,2010,Other,417
Depeche Mode,4,low,country,2010,Indie/Alternative,418
Dire Straits,4,low,country,2010,Classic Rock,419
DJ Greyboy,4,low,country,2010,Indie/Alternative,420
DJ Kechup,4,low,country,2010,Electronic,421
DJ Sureshot,4,low,country,2010,Electronic,422
Dr Octagon,4,low,country,2010,Hip Hop,423
Dr. Dre,4,low,country,2010,Hip Hop,424
Dwarves,4,low,country,2010,Punk,425
Early Man,4,low,country,2010,Other,426
Echo & The Bunnymen,4,low,country,2010,Punk,427
Editors,4,low,country,2010,Indie/Alternative,428
Edward Sharpe & The Magnetic Zeros,4,low,country,2010,Indie/Alternative,429
Eels,4,low,country,2010,Indie/Alternative,430
Eighty Mile Beach,4,low,country,2010,Electronic,431
EKP,4,low,country,2010,Other,432
El Stew,4,low,country,2010,Other,433
Electrelane,4,low,country,2010,Electronic,434
Elliot,4,low,country,2010,Other,435
Elton John,4,low,country,2010,Classic Rock,436
Eric Burdon & The Animals,4,low,country,2010,Classic Rock,437
Explosions in the Sky,4,low,country,2010,Indie/Alternative,438
Face To Face,4,low,country,2010,Punk,439
Fela Kuti,4,low,country,2010,Jazz/Soul,440
Fischerspooner,4,low,country,2010,Electronic,441
Fleet Foxes,4,low,country,2010,Indie/Alternative,442
Flogging Molly,4,low,country,2010,Punk,443
Fluf,4,low,country,2010,Other,444
Frank Sinatra,4,low,country,2010,Jazz/Soul,445
Free The Robots,4,low,country,2010,Jazz/Soul,446
Fu Manchu,4,low,country,2010,Metal,447
Funkadelic,4,low,country,2010,Jazz/Soul,448
Gas Huffer,4,low,country,2010,Other,449
Geto Boys,4,low,country,2010,Hip Hop,450
Ghostface Killah,4,low,country,2010,Hip Hop,451
Girlschool,4,low,country,2010,Metal,452
Gloritone,4,low,country,2010,Other,453
Goat,4,low,country,2010,Other,454
GOD,4,low,country,2010,Other,455
Gorillaz,4,low,country,2010,Hip Hop,456
Green Day,4,low,country,2010,Punk,457
Growing,4,low,country,2010,Other,458
Guttermouth,4,low,country,2010,Punk,459
Hall & Oates,4,low,country,2010,Classic Rock,460
Happy Go Licky,4,low,country,2010,Other,461
Helmet,4,low,country,2010,Metal,462
High On Fire,4,low,country,2010,Metal,463
Hive,4,low,country,2010,Other,464
Hole,4,low,country,2010,Indie/Alternative,465
House Of Pain,4,low,country,2010,Hip Hop,466
Ian Brown,4,low,country,2010,Indie/Alternative,467
J Mascis and the Fog,4,low,country,2010,Metal,468
J.F.A.,4,low,country,2010,Punk,469
Jets to Brazil,4,low,country,2010,Indie/Alternative,470
John Coltrane,4,low,country,2010,Jazz/Soul,471
Johnny Thunders,4,low,country,2010,Punk,472
Juelz Santana,4,low,country,2010,Hip Hop,473
Kenny Loggins,4,low,country,2010,Indie/Alternative,474
Kingpin Skinny Pimp,4,low,country,2010,Hip Hop,475
Lard,4,low,country,2010,Metal,476
Le Mix Tape Delux,4,low,country,2010,Other,477
Liam the Younger,4,low,country,2010,Other,478
Living Keys Music,4,low,country,2010,Other,479
Lords Of The Underground,4,low,country,2010,Hip Hop,480
Los Olvidados,4,low,country,2010,Punk,481
Mac Dre,4,low,country,2010,Hip Hop,482
Mazzy Star,4,low,country,2010,Indie/Alternative,483
MF Doom,4,low,country,2010,Hip Hop,484
Miles Davis,4,low,country,2010,Jazz/Soul,485
Mother Earth,4,low,country,2010,Jazz/Soul,486
Motörhead,4,low,country,2010,Metal,487
Mum,4,low,country,2010,Indie/Alternative,488
Muse,4,low,country,2010,Indie/Alternative,489
N.W.A,4,low,country,2010,Hip Hop,490
Neil Diamond,4,low,country,2010,Classic Rock,491
Norman Greenbaum,4,low,country,2010,Classic Rock,492
Oasis,4,low,country,2010,Indie/Alternative,493
Outkast,4,low,country,2010,Hip Hop,494
Pagan Altar,4,low,country,2010,Metal,495
Pete Rock,4,low,country,2010,Hip Hop,496
Peter Bjorn and John,4,low,country,2010,Indie/Alternative,497
Phillip Drummond,4,low,country,2010,Other,498
Prefuse 73,4,low,country,2010,Electronic,499
Prodigy,4,low,country,2010,Electronic,500
Propellerheads,4,low,country,2010,Electronic,501
Protassov,4,low,country,2010,Jazz/Soul,502
Puffball,4,low,country,2010,Other,503
Rakim,4,low,country,2010,Hip Hop,504
Ratatat,4,low,country,2010,Electronic,505
Renee Renee,4,low,country,2010,Other,506
Roky Erickson,4,low,country,2010,Metal,507
Seafood,4,low,country,2010,Indie/Alternative,508
Sebastien Daurel,4,low,country,2010,Other,509
Semisonic,4,low,country,2010,Indie/Alternative,510
Sex Pistols,4,low,country,2010,Punk,511
Sharon Jones & The Dap Kings,4,low,country,2010,Jazz/Soul,512
Shitkickers,4,low,country,2010,Punk,513
Sixtoo,4,low,country,2010,Electronic,514
Smut Peddlers,4,low,country,2010,Punk,515
Spindrift,4,low,country,2010,Indie/Alternative,516
Spiritualized,4,low,country,2010,Indie/Alternative,517
Steely Dan,4,low,country,2010,Classic Rock,518
Strung Out,4,low,country,2010,Punk,519
Styles Of Beyond,4,low,country,2010,Other,520
Sufjan Stevens,4,low,country,2010,Indie/Alternative,521
Sunset Rubdown,4,low,country,2010,Indie/Alternative,522
Tanner,4,low,country,2010,Other,523
The Album Leaf,4,low,country,2010,Indie/Alternative,524
The Black Lips,4,low,country,2010,Indie/Alternative,525
The Breeders,4,low,country,2010,Punk,526
The Buzzcocks,4,low,country,2010,Punk,527
The Charlatans,4,low,country,2010,Indie/Alternative,528
The Coral,4,low,country,2010,Indie/Alternative,529
The Cry,4,low,country,2010,Indie/Alternative,530
The Dandy Warhols,4,low,country,2010,Indie/Alternative,531
The Four Tops,4,low,country,2010,Other,532
The Get Up Kids,4,low,country,2010,Punk,533
The Goat & The Occasional Others,4,low,country,2010,Other,534
The Knife,4,low,country,2010,Electronic,535
The Needles,4,low,country,2010,Punk,536
The Police,4,low,country,2010,Classic Rock,537
The Raconteurs,4,low,country,2010,Indie/Alternative,538
The Raveonettes,4,low,country,2010,Indie/Alternative,539
The Sadies,4,low,country,2010,Metal,540
The Saints,4,low,country,2010,Punk,541
The Sea and Cake,4,low,country,2010,Indie/Alternative,542
The Small Faces,4,low,country,2010,Classic Rock,543
The Sonics,4,low,country,2010,Punk,544
The Stooges,4,low,country,2010,Punk,545
The Strokes,4,low,country,2010,Indie/Alternative,546
The Teenagers,4,low,country,2010,Indie/Alternative,547
The Veebees,4,low,country,2010,Punk,548
The Walkmen,4,low,country,2010,Indie/Alternative,549
The Whitest Boy Alive,4,low,country,2010,Indie/Alternative,550
The Zombies,4,low,country,2010,Classic Rock,551
The Zoo,4,low,country,2010,Indie/Alternative,552
Tom Petty & The Heartbreakers,4,low,country,2010,Classic Rock,553
U.S. Bombs,4,low,country,2010,Punk,554
Valient Thorr,4,low,country,2010,Metal,555
Van Halen,4,low,country,2010,Metal,556
Vangelis,4,low,country,2010,Electronic,557
Viking Skull,4,low,country,2010,Metal,558
Vito Y Coco,4,low,country,2010,Electronic,559
War,4,low,country,2010,Indie/Alternative,560
Whodini,4,low,country,2010,Hip Hop,561
Wonderful Broken Thing,4,low,country,2010,Indie/Alternative,562
X,4,low,country,2010,Other,563
Xzibit,4,low,country,2010,Hip Hop,564
Young Jeezy,4,low,country,2010,Hip Hop,565
Zigitros,4,low,country,2010,Other,566
Zoeangel,4,low,country,2010,Other,567
ZZ Top,4,low,country,2010,Classic Rock,568