date,model,tone,l
1/1/2018,Lupita Nyongo,#402C2C,0.212745098
10/1/2015,Lupita Nyongo,#58342B,0.257422969
3/1/2009,Michelle Obama,#844930,0.354117647
4/1/2015,Serena Williams,#875038,0.375
7/1/2014,Lupita Nyongo,#85524F,0.416666667
10/1/2016,Lupita Nyongo,#8F5347,0.420588235
3/1/2017,Imaan Hammam,#AB542D,0.425490196
2/1/2018,Serena Williams,#935E47,0.430514706
4/1/2009,Beyonce,#91684C,0.433893557
12/1/2002,Halle Berry,#906051,0.44248366
6/1/2012,Serena Williams,#9C5A46,0.443697479
12/1/2016,Michelle Obama,#A37249,0.465277778
5/1/2009,Liya Kebede,#AC7842,0.468736383
12/1/2008,Jennifer Aniston,#95745A,0.470437406
4/1/2016,Rihanna,#9C6A59,0.483333333
3/1/2017,Adwoa Aboah,#BA673E,0.486862745
3/1/2007,Jennifer Hudson,#A67955,0.493382353
6/1/2018,Rihanna,#B47648,0.495938375
8/1/2008,Kate Moss,#A17F5F,0.502614379
9/1/2014,Imaan Hammam,#B1694F,0.503594771
9/1/2018,Beyonce,#B97647,0.504738562
11/1/2008,Reese Witherspoon,#9F8365,0.51124183
2/1/2008,Kate Bosworth,#A67D61,0.515686275
2/1/2009,Blake Lively,#A9835E,0.516470588
4/1/2013,Michelle Obama,#BD6C4A,0.517156863
6/1/2009,Cameron Diaz,#A38764,0.517647059
6/1/2002,Ashley Judd,#AD705B,0.518552036
7/1/2018,Gisele Bundchen,#B87D52,0.52379085
9/1/2014,Joan Smalls,#B77156,0.527818627
8/1/2011,Sarah Jessica Parker,#AF815F,0.529411765
8/1/2016,Gigi Hadid,#BC7353,0.533115468
10/1/2002,Christy Turlington,#A57F6A,0.533936652
5/1/2005,Liya Kebede,#B17E62,0.540056022
8/1/2003,Sarah Jessica Parker,#B08466,0.547058824
1/1/2003,Sandra Bullock,#B08067,0.548627451
3/1/2017,Kendall Jenner,#C87450,0.55
12/1/2007,Penelope Cruz,#AE866B,0.551693405
4/1/2003,Brooke Shields,#B18A67,0.552249135
1/1/2017,Ruth Negga,#B88162,0.553594771
11/1/2009,Penelope Cruz,#B59165,0.554117647
3/1/2017,Ashley Graham,#D0724A,0.554656863
11/1/2009,Kate Hudson,#B49268,0.558039216
1/1/2001,Marion Jones,#C77955,0.558371041
3/1/2017,Liu Wen,#C87955,0.560980392
11/1/2009,Marion Cotillard,#B1946D,0.562745098
3/1/2004,Angelina Jolie,#B87B67,0.565418895
10/1/2000,Charlize Theron,#BD7B63,0.567201426
7/1/2010,Marion Cotillard,#BF7C62,0.567647059
1/1/2004,Jennifer Aniston,#C28361,0.57224736
4/1/2004,Gwen Stefani,#B5826E,0.573333333
10/1/2006,Sandra Bullock,#BB8B6D,0.580784314
3/1/2000,Amber Valletta,#BF9368,0.580926916
6/1/2005,Salma Hayek,#BB8A6F,0.58583878
11/1/2009,Nicole Kidman,#B99A71,0.585947712
8/1/2017,Gigi Hadid,#CC865F,0.586631016
3/1/2002,Gwyneth Paltrow,#C58A66,0.587254902
4/1/2007,Scarlett Johansson,#AD9280,0.591503268
3/1/2017,Gigi Hadid,#D3815A,0.592941176
5/1/2007,Lily Donaldson,#BD8F70,0.593333333
2/1/2003,Debra Messing,#C09070,0.597385621
7/1/2017,Zendaya,#C6876A,0.598039216
10/1/2001,Carolyn Murphy,#BF8873,0.601960784
5/1/2001,Carmen Kass,#CB8B67,0.602058824
6/1/2006,Uma Thurman,#CF9B64,0.602111614
5/1/2003,Cameron Diaz,#AE9284,0.602696078
6/1/2011,Penelope Cruz,#C58C6F,0.604656863
3/1/2010,Tina Fey,#D09466,0.609150327
5/1/2007,Caroline Trentini,#C29774,0.609607843
12/1/2010,Angelina Jolie,#B39684,0.610784314
6/1/2007,Keira Knightley,#C89770,0.613507625
3/1/2013,Beyonce,#CA8870,0.61752451
10/1/2003,Gwyneth Paltrow,#CB956F,0.617647059
2/1/2007,Renee Zellweger,#BC9E7F,0.618954248
2/1/2002,Sarah Jessica Parker,#C59876,0.62120098
3/1/2017,Vittoria Ceretti,#DB8861,0.621746881
4/1/2012,Jennifer Lopez,#C39C7A,0.622689076
4/1/2017,Selena Gomez,#CE966F,0.623227753
10/1/2014,Reese Witherspoon,#DD8162,0.62627451
9/1/2015,Beyonce,#BB9085,0.628571429
6/1/2008,Sarah Jessica Parker,#BBA186,0.630882353
5/1/2007,Hilary Rhoda,#C3967E,0.630952381
6/1/2003,Reese Witherspoon,#B49B8D,0.631045752
5/1/2009,Natalia Vodianova,#D3A46E,0.631808279
8/1/2018,Saoirse Ronan,#CAA378,0.634238311
8/1/2002,Jennifer Aniston,#CD9476,0.634436275
8/1/2009,Christy Turlington,#B89C8B,0.634992459
1/1/2008,Kate Hudson,#CB9978,0.635650624
9/1/2014,Karlie Kloss,#D39071,0.635947712
6/1/2016,Margot Robbie,#D29F72,0.635947712
5/1/2007,Doutzen Kroes,#C79A7D,0.63627451
12/1/2015,Jennifer Lawrence,#D39C71,0.636953243
12/1/2009,Cate Blanchett,#BB9E89,0.637535014
11/1/2000,Carmen Kass,#D2A373,0.638779956
5/1/2007,Sasha Pivovarova,#C99C7C,0.639433551
4/1/2010,Gisele Bundchen,#D59C71,0.640196078
3/1/2008,Drew Barrymore,#C89A7E,0.641736695
9/1/2010,Halle Berry,#D19D75,0.64245098
8/1/2014,Blake Lively,#CF9B79,0.643697479
9/1/2001,Linda Evangelista,#C89980,0.643837535
7/1/2003,Demi Moore,#C39E86,0.645490196
3/1/2001,Penelope Cruz,#DF8E69,0.645882353
3/1/2015,Karlie Kloss,#DB8D6E,0.646928105
9/1/2014,Edie Campbell,#D29277,0.647303922
2/1/2001,Karolina Kurkova,#C79B83,0.647511312
10/1/2017,Rooney Mara,#C39987,0.648039216
9/1/2014,Andreea Diaconu,#D49476,0.649542484
9/1/2014,Arizona Muse,#D59376,0.650544662
1/1/2009,Anne Hathaway,#DEA36D,0.650980392
3/1/2015,Taylor Swift,#DD8F6E,0.651198257
3/1/2005,Sandra Bullock,#D7A274,0.651372549
5/1/2000,Gisele Bundchen,#CC8F7F,0.651633987
11/1/2006,Cate Blanchett,#B5A597,0.652337858
10/1/2007,Charlize Theron,#CDA37F,0.652941176
8/1/2000,Carmen Kass,#CA9683,0.653846154
8/1/2006,Linda Evangelista,#CC9B82,0.655882353
5/1/2009,Anna Jagodzinska,#D5AA7A,0.658431373
6/1/2012,Hope Solo,#CDA182,0.659869281
9/1/2014,Fei Fei Sun,#D6967A,0.659912854
11/1/2000,Maggie Rizer,#D3A87D,0.66
5/1/2002,Natalie Portman,#C99C86,0.660249554
6/1/2010,Blake Lively,#D5A27C,0.66372549
6/1/2015,Amanda Seyfried,#D59B7C,0.66379085
12/1/2003,Renee Zellweger,#C1A691,0.663970588
4/1/2000,Carolyn Murphy,#DF9D73,0.664349376
9/1/2017,Jennifer Lawrence,#C19992,0.665953654
9/1/2009,Charlize Theron,#DDAE77,0.667119155
1/1/2000,Carmen Kass,#CE9A86,0.667810458
6/1/2000,Gisele Bundchen,#D39C81,0.668627451
3/1/2014,Rihanna,#CC9789,0.670751634
9/1/2006,Kirsten Dunst,#BEA398,0.671148459
1/1/2000,Gisele Bundchen,#D19985,0.672829132
5/1/2010,Sarah Jessica Parker,#D7A87F,0.672905526
5/1/2004,Nicole Kidman,#D0A486,0.673262032
1/1/2002,Julianne Moore,#CF9C87,0.673669468
10/1/2008,Rachel Weisz,#C8A38F,0.673669468
2/1/2004,Natalie Portman,#D0A187,0.674291939
9/1/2014,Vanessa Axente,#DB997C,0.674379085
9/1/2011,Kate Moss,#CCA58B,0.674509804
9/1/2008,Keira Knightley,#BEA699,0.674673203
9/1/2003,Nicole Kidman,#C9A48F,0.675653595
8/1/2005,Madonna,#CBA78D,0.675980392
1/1/2006,Sienna Miller,#CDAA8B,0.676078431
2/1/2006,Drew Barrymore,#DAA97E,0.676838235
9/1/2014,Cara Delevingne,#DA9C7F,0.677647059
6/1/2004,Kate Hudson,#D4AA85,0.678169935
12/1/2006,Nicole Kidman,#C5AD94,0.679215686
9/1/2007,Sienna Miller,#CDA28D,0.679738562
6/1/2001,Gisele Bundchen,#CF9B8B,0.679788839
4/1/2011,Rihanna,#D6A185,0.680882353
4/1/2006,Jennifer Aniston,#DFB07B,0.681372549
12/1/2018,Emily Blunt,#D99C82,0.68177624
12/1/2004,Cate Blanchett,#BDAC9E,0.682503771
8/1/2001,Amber Valletta,#C9A594,0.684313725
7/1/2009,Sienna Miller,#DBA981,0.68496732
11/1/2005,Reese Witherspoon,#CCA790,0.68540305
2/1/2010,Jessica Biel,#D1A48C,0.68627451
8/1/2012,Marion Cotillard,#CDAC91,0.687843137
6/1/2013,Kate Upton,#DDA681,0.688235294
2/1/2000,Angela Lindvall,#CA9C94,0.688480392
12/1/2001,Gisele Bundchen,#D9AA85,0.688515406
10/1/2005,Gwyneth Paltrow,#DCAB82,0.689803922
1/1/2005,Jennifer Lopez,#D1A58D,0.689869281
11/1/2002,Catherine Zeta-Jones,#CCA493,0.690457516
4/1/2008,Gisele Bundchen,#D6AC8A,0.692156863
11/1/2017,Daisy Ridley,#D1A38F,0.692156863
1/1/2015,Sienna Miller,#DCA484,0.693028322
7/1/2007,Natalia Vodianova,#D1A991,0.696918768
7/1/2004,Kirsten Dunst,#EFBA74,0.697603486
7/1/2005,Kate Winslet,#DBAB89,0.700735294
5/1/2011,Reese Witherspoon,#D3B192,0.702941176
11/1/2000,Angela Lindvall,#DBAF8B,0.703386809
11/1/2003,Uma Thurman,#CEB098,0.704313725
1/1/2007,Angelina Jolie,#DCAD8B,0.704357298
1/1/2011,Natalie Portman,#DBB38C,0.705128205
12/1/2005,Keira Knightley,#DBB38D,0.707058824
11/1/2001,Britney Spears,#DBAA8E,0.70802139
8/1/2015,Nicole Kidman,#DBAA8D,0.708189158
11/1/2000,Frankie Rayder,#DCB08D,0.710726644
7/1/2012,Emma Stone,#E5B186,0.712745098
5/1/2006,Keira Knightley,#DFB38C,0.713333333
6/1/2017,Elle Fanning,#D2A999,0.713554987
4/1/2001,Renee Zellweger,#DAAD91,0.715196078
10/1/2013,Sandra Bullock,#D8A395,0.716666667
7/1/2006,Kate Hudson,#D5B399,0.719215686
7/1/2002,Amber Valletta,#CCAAA2,0.719327731
12/1/2017,Meryl Streep,#E5B089,0.72
10/1/2004,Charlize Theron,#E7BE88,0.720588235
7/1/2000,Cate Blanchett,#D9AE97,0.722058824
9/1/2005,Sarah Jessica Parker,#DCB793,0.722156863
5/1/2018,Amal Clooney,#DBAF95,0.72373581
1/1/2012,Meryl Streep,#D3B69D,0.723921569
5/1/2012,Scarlett Johansson,#D6AB9A,0.724089636
11/1/2015,Angelina Jolie,#DAA697,0.724336794
8/1/2004,Lisa-Marie Presley,#D2B59F,0.724420677
3/1/2006,Natalie Portman,#D6B39B,0.724893436
9/1/2016,Kendall Jenner,#E6A08B,0.725816993
9/1/2000,Bridget Hall,#DEAC94,0.726797386
8/1/2007,Winona Ryder,#CEAFA4,0.727591036
7/1/2001,Catherine Zeta-Jones,#D3AEA0,0.72872549
1/1/2014,Cate Blanchett,#DCAE97,0.729019608
2/1/2016,Penelope Cruz,#E3AF90,0.729102167
1/1/2013,Gwen Stefani,#DDBC97,0.730147059
2/1/2011,Kristen Stewart,#D6B79E,0.731652661
11/1/2004,Jennifer Connelly,#DDBA97,0.731862745
8/1/2010,Gwyneth Paltrow,#DDBD9A,0.7375
6/1/2014,Charlize Theron,#E6A992,0.738562092
4/1/2014,Kim Kardashian,#E1B297,0.739542484
4/1/2002,Angelina Jolie,#D8B3A0,0.73977591
11/1/2013,Kate Winslet,#E0B198,0.74004128
5/1/2016,Taylor Swift,#DFAF9A,0.740196078
9/1/2002,Kate Hudson,#D8B5A1,0.741421569
10/1/2010,Carey Mulligan,#E0BF9A,0.743137255
2/1/2017,Dakota Johnson,#E1A899,0.744019608
11/1/2014,Natalia Vodianova,#EEB88D,0.74422658
11/1/2011,Rooney Mara,#D1B6AB,0.746588235
11/1/2002,Renee Zellweger,#D7B5A6,0.747593583
1/1/2016,Alicia Vikander,#E7AC96,0.749535604
2/1/2005,Melania Trump,#DBBCA2,0.74956427
3/1/2003,Julianne Moore,#D5B6AB,0.754411765
11/1/2012,Rihanna,#F3B18D,0.7544406
1/1/2010,Rachel McAdams,#D6BAAA,0.754901961
5/1/2013,Carey Mulligan,#E2BF9E,0.755882353
7/1/2015,Cara Delevingne,#ECAE95,0.756732026
7/1/2016,Amy Schumer,#E4BD9D,0.756951872
8/1/2004,Riley Keough,#D5BBAC,0.757329599
12/1/2011,Charlize Theron,#DDBEA5,0.759728507
3/1/2018,Alicia Vikander,#EABB9A,0.763071895
2/1/2015,Dakota Johnson,#F3AC92,0.764488017
2/1/2012,Taylor Swift,#DCC0AC,0.770868347
5/1/2015,Carey Mulligan,#F0BA98,0.771323529
8/1/2004,Priscilla Presley,#D4C0B5,0.772096531
4/1/2005,Drew Barrymore,#DCC4AD,0.772331155
7/1/2008,Nicole Kidman,#DCC5AD,0.773109244
9/1/2013,Jennifer Lawrence,#ECBC9E,0.774625144
2/1/2014,Lena Dunham,#E0C1AC,0.77739331
5/1/2017,Katy Perry,#E7BDA7,0.782085561
10/1/2011,Michelle Williams,#D5CBBB,0.786181139
11/1/2007,Jennifer Connelly,#E8C5AA,0.790196078
10/1/2009,Michelle Williams,#E5CBAD,0.791021672
8/1/2013,Claire Danes,#EFC5A4,0.792810458
3/1/2016,Adele,#F0BBA5,0.794509804
7/1/2011,Emma Watson,#E1C5B4,0.795588235
3/1/2012,Adele,#D7C7BF,0.797888386
11/1/2016,Emma Stone,#E7C2B2,0.802941176
3/1/2011,Lady Gaga,#E0C9B9,0.803267974
5/1/2014,Emma Stone,#E6BDB4,0.805190311
5/1/2008,Gwyneth Paltrow,#E0C4BA,0.806302521
10/1/2018,Lady Gaga,#DDCAC0,0.812655971
9/1/2004,Gisele Bundchen,#EBCDB3,0.813112745
2/1/2013,Rooney Mara,#EDC8B4,0.818995098
12/1/2000,Nicole Kidman,#DACFC7,0.820588235
7/1/2013,Katy Perry,#EDCAB5,0.821799308
10/1/2012,Keira Knightley,#EEBFB4,0.82254902
4/1/2018,Kendall Jenner,#E7CDBC,0.824355005
12/1/2012,Anne Hathaway,#EBD1BD,0.833946078
9/1/2004,Daria Werbowy,#ECD1BD,0.834858388
9/1/2012,Lady Gaga,#E2D1C7,0.835729847
9/1/2004,Natalia Vodianova,#F0D6C4,0.855555556
12/1/2014,Amy Adams,#ECCDC9,0.857352941
11/1/2018,Claire Foy,#EFD0C5,0.858226769
12/1/2013,Jessica Chastain,#F8D2BE,0.86127451
11/1/2010,Anne Hathaway,#F6D9CB,0.882352941
